Fiscal Year,Fiscal Quarter,Fiscal Month,Email Program Name,Sent,Bounced,Delivered,Delivered%,Opens,Open Rate%,Clicks,CTR%,Link Clicks,Marketing Play,Play Num,Solution Area,Solution Area Num,Marketing Play Product,Product Num,Row#
FY22,FY22-Q2,11/1/2021 0:00,,"13,281",398,"12,883",97.00%,"2,471",19.18%,117,0.91%,145,Modernize NET and Java Apps,23,Digital and Application Innovation,3,Azure,1,1845
FY22,FY22-Q2,11/1/2021 0:00,,"3,602",3,"3,599",99.92%,594,16.50%,40,1.11%,89,Modernize Endpoints,11,Modern Work,6,Microsoft 365,4,1713
FY22,FY22-Q2,11/1/2021 0:00,,"1,107",1,"1,106",99.91%,276,24.95%,47,4.25%,57,Modernize Endpoints,11,Modern Work,6,Microsoft 365,4,1712
FY22,FY22-Q2,11/1/2021 0:00,,"9,133",66,"9,067",99.28%,"1,715",18.91%,160,1.76%,270,Modernize Endpoints,11,Modern Work,6,Microsoft 365,4,1711
FY22,FY22-Q2,11/1/2021 0:00,,"1,647",1,"1,646",99.94%,352,21.39%,41,2.49%,56,Modernize Endpoints,11,Modern Work,6,Microsoft 365,4,1710
FY22,FY22-Q2,11/1/2021 0:00,,"31,247","1,628","29,619",94.79%,"5,277",17.82%,155,0.52%,207,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1598
FY22,FY22-Q2,11/1/2021 0:00,,"9,626",878,"8,748",90.88%,"1,942",22.20%,88,1.01%,105,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1597
FY22,FY22-Q2,11/1/2021 0:00,,"7,578",116,"7,462",98.47%,"1,678",22.49%,152,2.04%,193,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1596
FY22,FY22-Q2,11/1/2021 0:00,,"12,605","1,391","11,214",88.96%,"1,924",17.16%,93,0.83%,126,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1595
FY22,FY22-Q2,11/1/2021 0:00,,"10,594",916,"9,678",91.35%,"2,115",21.85%,144,1.49%,189,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1594
FY22,FY22-Q2,11/1/2021 0:00,,718,0,718,100.00%,204,28.41%,22,3.06%,24,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1593
FY22,FY22-Q2,11/1/2021 0:00,,"6,574",121,"6,453",98.16%,"1,366",21.17%,69,1.07%,95,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1592
FY22,FY22-Q2,11/1/2021 0:00,,"2,583",6,"2,577",99.77%,470,18.24%,38,1.47%,75,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1591
FY22,FY22-Q2,11/1/2021 0:00,,517,1,516,99.81%,134,25.97%,42,8.14%,54,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1590
FY22,FY22-Q2,11/1/2021 0:00,,"16,193",24,"16,169",99.85%,"3,803",23.52%,172,1.06%,231,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1589
FY22,FY22-Q2,11/1/2021 0:00,,"62,475",887,"61,588",98.58%,"13,843",22.48%,855,1.39%,"1,323",Automate Business Processes,24,Business Applications,1,Power Automate,10,1070
FY22,FY22-Q2,11/1/2021 0:00,,"67,860","3,585","64,275",94.72%,"14,868",23.13%,"1,057",1.64%,"1,539",Automate Business Processes,24,Business Applications,1,Power Automate,10,1069
FY22,FY22-Q2,11/1/2021 0:00,,"36,922",41,"36,881",99.89%,"8,333",22.59%,447,1.21%,581,Automate Business Processes,24,Business Applications,1,Power Automate,10,1068
FY22,FY22-Q2,11/1/2021 0:00,,"14,856",177,"14,679",98.81%,"4,273",29.11%,741,5.05%,"1,222",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,976
FY22,FY22-Q2,11/1/2021 0:00,,"23,879",452,"23,427",98.11%,"4,450",19.00%,419,1.79%,669,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,975
FY22,FY22-Q2,11/1/2021 0:00,,"16,331",447,"15,884",97.26%,"4,267",26.86%,718,4.52%,"1,343",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,974
FY22,FY22-Q2,11/1/2021 0:00,,475,3,472,99.37%,152,32.20%,37,7.84%,54,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,973
FY22,FY22-Q2,11/1/2021 0:00,,"26,582",14,"26,568",99.95%,"5,723",21.54%,642,2.42%,"1,045",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,972
FY22,FY22-Q2,11/1/2021 0:00,,"2,534",2,"2,532",99.92%,621,24.53%,81,3.20%,170,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,971
FY22,FY22-Q2,11/1/2021 0:00,,"28,550",176,"28,374",99.38%,"5,799",20.44%,621,2.19%,964,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,970
FY22,FY22-Q2,11/1/2021 0:00,,"3,196",10,"3,186",99.69%,787,24.70%,116,3.64%,183,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,969
FY22,FY22-Q2,11/1/2021 0:00,,"26,647","2,393","24,254",91.02%,"5,016",20.68%,454,1.87%,681,Security Broad Reach,15,Security,8,Security,5,531
FY22,FY22-Q2,11/1/2021 0:00,,"24,667",478,"24,189",98.06%,"6,508",26.90%,428,1.77%,670,Security Broad Reach,15,Security,8,Security,5,530
FY22,FY22-Q2,11/1/2021 0:00,,"1,422",20,"1,402",98.59%,464,33.10%,46,3.28%,57,Security Broad Reach,15,Security,8,Security,5,529
FY22,FY22-Q2,11/1/2021 0:00,,910,1,909,99.89%,271,29.81%,53,5.83%,73,Security Broad Reach,15,Security,8,Security,5,528
FY22,FY22-Q2,11/1/2021 0:00,,"4,892",54,"4,838",98.90%,"1,010",20.88%,165,3.41%,296,Security Broad Reach,15,Security,8,Security,5,527
FY22,FY22-Q2,11/1/2021 0:00,,"14,113",951,"13,162",93.26%,"2,685",20.40%,138,1.05%,170,Surface Broad Reach,25,Modern Work,6,Surface,11,456
FY22,FY22-Q2,11/1/2021 0:00,,"8,598","1,095","7,503",87.26%,"1,448",19.30%,72,0.96%,83,Surface Broad Reach,25,Modern Work,6,Surface,11,455
FY22,FY22-Q2,11/1/2021 0:00,,"4,165",164,"4,001",96.06%,780,19.50%,65,1.62%,90,Refresh Your Devices,26,Modern Work,6,Surface,11,324
FY22,FY22-Q2,11/1/2021 0:00,,"6,723",137,"6,586",97.96%,"1,528",23.20%,153,2.32%,171,Refresh Your Devices,26,Modern Work,6,Surface,11,323
FY22,FY22-Q2,11/1/2021 0:00,,215,0,215,100.00%,69,32.09%,2,0.93%,2,Refresh Your Devices,26,Modern Work,6,Surface,11,322
FY22,FY22-Q2,11/1/2021 0:00,,"4,551",93,"4,458",97.96%,975,21.87%,128,2.87%,146,Refresh Your Devices,26,Modern Work,6,Surface,11,321
FY22,FY22-Q2,11/1/2021 0:00,,"7,492",2,"7,490",99.97%,"1,644",21.95%,130,1.74%,172,Refresh Your Devices,26,Modern Work,6,Surface,11,320
FY22,FY22-Q2,11/1/2021 0:00,,"15,946",144,"15,802",99.10%,"1,920",12.15%,293,1.85%,351,Refresh Your Devices,26,Modern Work,6,Surface,11,319
FY22,FY22-Q2,11/1/2021 0:00,,"11,135",94,"11,041",99.16%,"3,293",29.83%,112,1.01%,162,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,250
FY22,FY22-Q2,11/1/2021 0:00,,"4,287",70,"4,217",98.37%,"1,024",24.28%,51,1.21%,71,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,249
FY22,FY22-Q2,11/1/2021 0:00,,"3,842",1,"3,841",99.97%,930,24.21%,39,1.02%,59,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,248
FY22,FY22-Q2,11/1/2021 0:00,,"9,893",3,"9,890",99.97%,"3,301",33.38%,400,4.04%,651,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,247
FY22,FY22-Q2,10/1/2021 0:00,,"46,262","2,531","43,731",94.53%,"7,873",18.00%,495,1.13%,682,Innovate with AI,1,Data and AI,2,Azure,1,5334
FY22,FY22-Q2,10/1/2021 0:00,,"36,450","3,533","32,917",90.31%,"5,595",17.00%,292,0.89%,373,Innovate with AI,1,Data and AI,2,Azure,1,5333
FY22,FY22-Q2,10/1/2021 0:00,,"85,510","2,811","82,699",96.71%,"15,021",18.16%,791,0.96%,"1,185",Win with Analytics,2,Data and AI,2,Azure,1,5131
FY22,FY22-Q2,10/1/2021 0:00,,"37,031","1,246","35,785",96.64%,"8,606",24.05%,464,1.30%,591,Win with Analytics,2,Data and AI,2,Azure,1,5130
FY22,FY22-Q2,10/1/2021 0:00,,"28,034","1,691","26,343",93.97%,"5,968",22.65%,405,1.54%,561,Win with Analytics,2,Data and AI,2,Azure,1,5129
FY22,FY22-Q2,10/1/2021 0:00,,"46,516","1,138","45,378",97.55%,"8,233",18.14%,582,1.28%,729,Win with Analytics,2,Data and AI,2,Azure,1,5128
FY22,FY22-Q2,10/1/2021 0:00,,"15,732",898,"14,834",94.29%,"3,663",24.69%,151,1.02%,191,Win with Analytics,2,Data and AI,2,Azure,1,5127
FY22,FY22-Q2,10/1/2021 0:00,,"65,759","4,157","61,602",93.68%,"11,110",18.04%,455,0.74%,680,Win with Analytics,2,Data and AI,2,Azure,1,5126
FY22,FY22-Q2,10/1/2021 0:00,,"66,982","1,232","65,750",98.16%,"11,913",18.12%,612,0.93%,760,Win with Analytics,2,Data and AI,2,Azure,1,5125
FY22,FY22-Q2,10/1/2021 0:00,,"76,291","4,688","71,603",93.86%,"14,354",20.05%,854,1.19%,"1,109",Win with Analytics,2,Data and AI,2,Azure,1,5124
FY22,FY22-Q2,10/1/2021 0:00,,"39,963","1,100","38,863",97.25%,"6,883",17.71%,340,0.87%,409,Win with Analytics,2,Data and AI,2,Azure,1,5123
FY22,FY22-Q2,10/1/2021 0:00,,"43,529",434,"43,095",99.00%,"10,378",24.08%,650,1.51%,754,Win with Analytics,2,Data and AI,2,Azure,1,5122
FY22,FY22-Q2,10/1/2021 0:00,,"61,151","3,957","57,194",93.53%,"9,651",16.87%,521,0.91%,761,Win with Analytics,2,Data and AI,2,Azure,1,5121
FY22,FY22-Q2,10/1/2021 0:00,,"51,023","1,519","49,504",97.02%,"10,215",20.63%,388,0.78%,604,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4668
FY22,FY22-Q2,10/1/2021 0:00,,"29,438",814,"28,624",97.23%,"7,097",24.79%,324,1.13%,394,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4667
FY22,FY22-Q2,10/1/2021 0:00,,"60,366","3,881","56,485",93.57%,"11,561",20.47%,714,1.26%,962,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4666
FY22,FY22-Q2,10/1/2021 0:00,,"30,713",347,"30,366",98.87%,"7,664",25.24%,389,1.28%,512,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4665
FY22,FY22-Q2,10/1/2021 0:00,,"17,862",409,"17,453",97.71%,"3,486",19.97%,268,1.54%,376,Compliance,19,Security,8,Security,5,4197
FY22,FY22-Q2,10/1/2021 0:00,,"24,261","1,017","23,244",95.81%,"4,293",18.47%,419,1.80%,544,Compliance,19,Security,8,Security,5,4196
FY22,FY22-Q2,10/1/2021 0:00,,"32,312","1,622","30,690",94.98%,"4,592",14.96%,104,0.34%,172,Connected Commerce,27,Business Applications,1,Dynamics 365,2,4113
FY22,FY22-Q2,10/1/2021 0:00,,"37,734","4,872","32,862",87.09%,"5,077",15.45%,241,0.73%,293,Connected Commerce,27,Business Applications,1,Dynamics 365,2,4112
FY22,FY22-Q2,10/1/2021 0:00,,"37,198","3,666","33,532",90.14%,"5,188",15.47%,202,0.60%,260,Connected Commerce,27,Business Applications,1,Dynamics 365,2,4111
FY22,FY22-Q2,10/1/2021 0:00,,"13,392","1,215","12,177",90.93%,728,5.98%,41,0.34%,51,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3988
FY22,FY22-Q2,10/1/2021 0:00,,"52,030","3,937","48,093",92.43%,"7,453",15.50%,143,0.30%,219,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3987
FY22,FY22-Q2,10/1/2021 0:00,,"18,053","2,560","15,493",85.82%,"2,140",13.81%,125,0.81%,164,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3986
FY22,FY22-Q2,10/1/2021 0:00,,"34,155","1,415","32,740",95.86%,"4,620",14.11%,207,0.63%,261,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3985
FY22,FY22-Q2,10/1/2021 0:00,,"37,523","4,093","33,430",89.09%,"5,221",15.62%,193,0.58%,284,Enable Always-On Service,21,Business Applications,1,Dynamics 365,2,3745
FY22,FY22-Q2,10/1/2021 0:00,,"68,279","2,909","65,370",95.74%,"11,696",17.89%,220,0.34%,337,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3625
FY22,FY22-Q2,10/1/2021 0:00,,"28,840",872,"27,968",96.98%,"5,075",18.15%,116,0.41%,151,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3622
FY22,FY22-Q2,10/1/2021 0:00,,"19,179",679,"18,500",96.46%,"4,006",21.65%,93,0.50%,163,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3621
FY22,FY22-Q2,10/1/2021 0:00,,"19,772",536,"19,236",97.29%,"3,836",19.94%,269,1.40%,370,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3620
FY22,FY22-Q2,10/1/2021 0:00,,"29,483","1,961","27,522",93.35%,"4,786",17.39%,217,0.79%,278,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3619
FY22,FY22-Q2,10/1/2021 0:00,,"17,125",480,"16,645",97.20%,"2,785",16.73%,145,0.87%,175,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3618
FY22,FY22-Q2,10/1/2021 0:00,,"63,091","2,121","60,970",96.64%,"10,940",17.94%,409,0.67%,649,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3617
FY22,FY22-Q2,10/1/2021 0:00,,"8,664",781,"7,883",90.99%,"1,266",16.06%,63,0.80%,80,Build a Resilient Supply Chain,5,Business Applications,1,Dynamics 365,2,3488
FY22,FY22-Q2,10/1/2021 0:00,,"37,924",565,"37,359",98.51%,"9,904",26.51%,348,0.93%,535,Education,6,Digital Transformation and Industry,4,Education,3,3397
FY22,FY22-Q2,10/1/2021 0:00,,"2,068",15,"2,053",99.27%,465,22.65%,13,0.63%,18,Education,6,Digital Transformation and Industry,4,Education,3,3396
FY22,FY22-Q2,10/1/2021 0:00,,"1,568",126,"1,442",91.96%,290,20.11%,5,0.35%,5,Education,6,Digital Transformation and Industry,4,Education,3,3395
FY22,FY22-Q2,10/1/2021 0:00,,"4,551",247,"4,304",94.57%,"1,378",32.02%,126,2.93%,163,Education,6,Digital Transformation and Industry,4,Education,3,3394
FY22,FY22-Q2,10/1/2021 0:00,,"30,476","1,215","29,261",96.01%,"6,337",21.66%,292,1.00%,387,Employee Experience,7,Modern Work,6,Microsoft 365,4,3196
FY22,FY22-Q2,10/1/2021 0:00,,"67,690",939,"66,751",98.61%,"15,412",23.09%,398,0.60%,509,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2992
FY22,FY22-Q2,10/1/2021 0:00,,"43,070","4,154","38,916",90.36%,"6,148",15.80%,588,1.51%,836,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2991
FY22,FY22-Q2,10/1/2021 0:00,,"48,432","2,948","45,484",93.91%,"8,766",19.27%,"1,007",2.21%,"1,358",Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2990
FY22,FY22-Q2,10/1/2021 0:00,,"40,888","1,132","39,756",97.23%,"9,442",23.75%,543,1.37%,617,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2989
FY22,FY22-Q2,10/1/2021 0:00,,"25,449",486,"24,963",98.09%,"6,228",24.95%,372,1.49%,451,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2988
FY22,FY22-Q2,10/1/2021 0:00,,"77,778","3,563","74,215",95.42%,"14,787",19.92%,"1,169",1.58%,"1,800",Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2987
FY22,FY22-Q2,10/1/2021 0:00,,"26,606","1,046","25,560",96.07%,"5,378",21.04%,315,1.23%,494,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2398
FY22,FY22-Q2,10/1/2021 0:00,,"35,702",855,"34,847",97.61%,"7,748",22.23%,619,1.78%,906,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2392
FY22,FY22-Q2,10/1/2021 0:00,,"7,373",230,"7,143",96.88%,"1,978",27.69%,206,2.88%,311,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2391
FY22,FY22-Q2,10/1/2021 0:00,,"8,997",298,"8,699",96.69%,"2,483",28.54%,127,1.46%,186,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2390
FY22,FY22-Q2,10/1/2021 0:00,,"26,354","1,593","24,761",93.96%,"4,849",19.58%,274,1.11%,379,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2389
FY22,FY22-Q2,10/1/2021 0:00,,"31,089",579,"30,510",98.14%,"6,010",19.70%,370,1.21%,519,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2388
FY22,FY22-Q2,10/1/2021 0:00,,"8,278",184,"8,094",97.78%,"2,190",27.06%,160,1.98%,195,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2387
FY22,FY22-Q2,10/1/2021 0:00,,"29,024","1,666","27,358",94.26%,"5,360",19.59%,324,1.18%,426,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2386
FY22,FY22-Q2,10/1/2021 0:00,,"45,346","1,612","43,734",96.45%,"7,971",18.23%,542,1.24%,773,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2385
FY22,FY22-Q2,10/1/2021 0:00,,"30,610","1,553","29,057",94.93%,"5,686",19.57%,224,0.77%,361,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2384
FY22,FY22-Q2,10/1/2021 0:00,,"43,261","1,300","41,961",96.99%,"4,264",10.16%,297,0.71%,433,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2383
FY22,FY22-Q2,10/1/2021 0:00,,"28,243","1,551","26,692",94.51%,"3,294",12.34%,91,0.34%,115,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1957
FY22,FY22-Q2,10/1/2021 0:00,,"19,890","2,179","17,711",89.04%,"2,291",12.94%,84,0.47%,120,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1956
FY22,FY22-Q2,10/1/2021 0:00,,"31,541","2,060","29,481",93.47%,"5,700",19.33%,259,0.88%,341,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1955
FY22,FY22-Q2,10/1/2021 0:00,,"35,624","2,423","33,201",93.20%,"6,316",19.02%,577,1.74%,700,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1954
FY22,FY22-Q2,10/1/2021 0:00,,"6,385",399,"5,986",93.75%,"1,217",20.33%,68,1.14%,101,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1953
FY22,FY22-Q2,10/1/2021 0:00,,"30,327","1,793","28,534",94.09%,"4,990",17.49%,434,1.52%,507,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1952
FY22,FY22-Q2,10/1/2021 0:00,,"50,059","2,707","47,352",94.59%,"7,287",15.39%,307,0.65%,420,Modernize NET and Java Apps,23,Digital and Application Innovation,3,Azure,1,1848
FY22,FY22-Q2,10/1/2021 0:00,,"61,535","5,267","56,268",91.44%,"9,099",16.17%,263,0.47%,447,Modernize NET and Java Apps,23,Digital and Application Innovation,3,Azure,1,1847
FY22,FY22-Q2,10/1/2021 0:00,,"39,978","2,336","37,642",94.16%,"7,993",21.23%,656,1.74%,939,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1605
FY22,FY22-Q2,10/1/2021 0:00,,"43,748","3,971","39,777",90.92%,"7,454",18.74%,475,1.19%,786,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1604
FY22,FY22-Q2,10/1/2021 0:00,,"15,508","1,044","14,464",93.27%,"3,659",25.30%,376,2.60%,451,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1603
FY22,FY22-Q2,10/1/2021 0:00,,"39,981",728,"39,253",98.18%,"8,663",22.07%,777,1.98%,"1,168",Modernize Security and Defend Against Threats,12,Security,8,Security,5,1602
FY22,FY22-Q2,10/1/2021 0:00,,"43,342",692,"42,650",98.40%,"7,917",18.56%,601,1.41%,757,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1601
FY22,FY22-Q2,10/1/2021 0:00,,"42,823","1,430","41,393",96.66%,"7,311",17.66%,352,0.85%,432,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1600
FY22,FY22-Q2,10/1/2021 0:00,,"19,751","1,208","18,543",93.88%,"4,424",23.86%,303,1.63%,474,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1599
FY22,FY22-Q2,10/1/2021 0:00,,"58,114",789,"57,325",98.64%,"12,426",21.68%,"1,044",1.82%,"1,481",Automate Business Processes,24,Business Applications,1,Power Automate,10,1071
FY22,FY22-Q2,10/1/2021 0:00,,"11,997",542,"11,455",95.48%,"2,327",20.31%,106,0.93%,157,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,981
FY22,FY22-Q2,10/1/2021 0:00,,"4,406",84,"4,322",98.09%,"1,422",32.90%,322,7.45%,586,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,980
FY22,FY22-Q2,10/1/2021 0:00,,"30,110","2,379","27,731",92.10%,"5,270",19.00%,573,2.07%,890,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,979
FY22,FY22-Q2,10/1/2021 0:00,,"28,768","3,598","25,170",87.49%,"4,896",19.45%,639,2.54%,"1,048",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,978
FY22,FY22-Q2,10/1/2021 0:00,,"28,108",406,"27,702",98.56%,"5,492",19.83%,650,2.35%,985,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,977
FY22,FY22-Q2,10/1/2021 0:00,,"6,939",171,"6,768",97.54%,"1,365",20.17%,118,1.74%,139,Surface Broad Reach,25,Modern Work,6,Surface,11,460
FY22,FY22-Q2,10/1/2021 0:00,,"12,542",120,"12,422",99.04%,"3,113",25.06%,230,1.85%,284,Surface Broad Reach,25,Modern Work,6,Surface,11,459
FY22,FY22-Q2,10/1/2021 0:00,,"13,496",218,"13,278",98.38%,"3,204",24.13%,205,1.54%,244,Surface Broad Reach,25,Modern Work,6,Surface,11,458
FY22,FY22-Q2,10/1/2021 0:00,,"13,098",738,"12,360",94.37%,"2,585",20.91%,217,1.76%,265,Surface Broad Reach,25,Modern Work,6,Surface,11,457
FY22,FY22-Q2,10/1/2021 0:00,,"4,605",380,"4,225",91.75%,766,18.13%,51,1.21%,81,Refresh Your Devices,26,Modern Work,6,Surface,11,325
FY22,FY22-Q2,10/1/2021 0:00,,"5,942",267,"5,675",95.51%,"1,137",20.04%,94,1.66%,199,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,253
FY22,FY22-Q2,10/1/2021 0:00,,"4,007",197,"3,810",95.08%,810,21.26%,70,1.84%,136,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,252
FY22,FY22-Q2,10/1/2021 0:00,,"2,722",159,"2,563",94.16%,607,23.68%,46,1.79%,67,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,251
FY22,FY22-Q1,9/1/2021 0:00,,"61,013",815,"60,198",98.66%,"14,467",24.03%,426,0.71%,552,Innovate with AI,1,Data and AI,2,Azure,1,5344
FY22,FY22-Q1,9/1/2021 0:00,,"57,127","1,683","55,444",97.05%,"8,945",16.13%,228,0.41%,318,Innovate with AI,1,Data and AI,2,Azure,1,5343
FY22,FY22-Q1,9/1/2021 0:00,,"56,626","1,110","55,516",98.04%,"9,848",17.74%,628,1.13%,929,Innovate with AI,1,Data and AI,2,Azure,1,5342
FY22,FY22-Q1,9/1/2021 0:00,,"54,582","1,575","53,007",97.11%,"7,971",15.04%,187,0.35%,261,Innovate with AI,1,Data and AI,2,Azure,1,5341
FY22,FY22-Q1,9/1/2021 0:00,,"31,800",699,"31,101",97.80%,"7,084",22.78%,211,0.68%,279,Innovate with AI,1,Data and AI,2,Azure,1,5340
FY22,FY22-Q1,9/1/2021 0:00,,"33,877","2,110","31,767",93.77%,"3,967",12.49%,98,0.31%,115,Innovate with AI,1,Data and AI,2,Azure,1,5339
FY22,FY22-Q1,9/1/2021 0:00,,"38,846",605,"38,241",98.44%,"8,995",23.52%,288,0.75%,350,Innovate with AI,1,Data and AI,2,Azure,1,5338
FY22,FY22-Q1,9/1/2021 0:00,,"34,002","1,840","32,162",94.59%,"4,935",15.34%,111,0.35%,121,Innovate with AI,1,Data and AI,2,Azure,1,5337
FY22,FY22-Q1,9/1/2021 0:00,,"32,627","2,305","30,322",92.94%,"4,450",14.68%,225,0.74%,340,Innovate with AI,1,Data and AI,2,Azure,1,5336
FY22,FY22-Q1,9/1/2021 0:00,,"68,441","2,460","65,981",96.41%,"11,927",18.08%,629,0.95%,907,Innovate with AI,1,Data and AI,2,Azure,1,5335
FY22,FY22-Q1,9/1/2021 0:00,,"11,436","1,267","10,169",88.92%,"1,712",16.84%,78,0.77%,94,Win with Analytics,2,Data and AI,2,Azure,1,5137
FY22,FY22-Q1,9/1/2021 0:00,,"58,619","1,535","57,084",97.38%,"9,549",16.73%,332,0.58%,468,Win with Analytics,2,Data and AI,2,Azure,1,5136
FY22,FY22-Q1,9/1/2021 0:00,,"17,500",881,"16,619",94.97%,"2,909",17.50%,164,0.99%,228,Win with Analytics,2,Data and AI,2,Azure,1,5135
FY22,FY22-Q1,9/1/2021 0:00,,"15,588",423,"15,165",97.29%,"2,732",18.02%,170,1.12%,229,Win with Analytics,2,Data and AI,2,Azure,1,5134
FY22,FY22-Q1,9/1/2021 0:00,,"75,672","2,140","73,532",97.17%,"13,117",17.84%,371,0.50%,502,Win with Analytics,2,Data and AI,2,Azure,1,5133
FY22,FY22-Q1,9/1/2021 0:00,,"79,287","2,119","77,168",97.33%,"12,945",16.78%,630,0.82%,904,Win with Analytics,2,Data and AI,2,Azure,1,5132
FY22,FY22-Q1,9/1/2021 0:00,,"43,582","1,289","42,293",97.04%,"8,451",19.98%,381,0.90%,504,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4675
FY22,FY22-Q1,9/1/2021 0:00,,"40,519",983,"39,536",97.57%,"8,001",20.24%,337,0.85%,510,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4674
FY22,FY22-Q1,9/1/2021 0:00,,"17,220",540,"16,680",96.86%,"3,931",23.57%,234,1.40%,349,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4673
FY22,FY22-Q1,9/1/2021 0:00,,"9,920",463,"9,457",95.33%,"2,008",21.23%,107,1.13%,125,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4672
FY22,FY22-Q1,9/1/2021 0:00,,"48,248","1,012","47,236",97.90%,"8,598",18.20%,501,1.06%,742,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4671
FY22,FY22-Q1,9/1/2021 0:00,,"32,698",319,"32,379",99.02%,"7,607",23.49%,437,1.35%,534,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4670
FY22,FY22-Q1,9/1/2021 0:00,,"47,179","1,823","45,356",96.14%,"8,824",19.45%,442,0.97%,606,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4669
