Fiscal Year,Fiscal Quarter,Fiscal Month,Email Program Name,Sent,Bounced,Delivered,Delivered%,Opens,Open Rate%,Clicks,CTR%,Link Clicks,Marketing Play,Play Num,Solution Area,Solution Area Num,Marketing Play Product,Product Num,Row#
FY21,FY21-Q2,10/1/2020 0:00,,"29,103","2,387","26,716",91.80%,"4,239",15.87%,188,0.70%,366,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1964
FY21,FY21-Q2,10/1/2020 0:00,,"36,928",811,"36,117",97.80%,"6,100",16.89%,209,0.58%,429,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1963
FY21,FY21-Q2,10/1/2020 0:00,,"18,597",571,"18,026",96.93%,"3,727",20.68%,325,1.80%,697,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1646
FY21,FY21-Q2,10/1/2020 0:00,,"19,787",938,"18,849",95.26%,"4,653",24.69%,"1,348",7.15%,"3,188",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1013
FY21,FY21-Q2,10/1/2020 0:00,,"21,396","1,072","20,324",94.99%,"4,914",24.18%,"1,080",5.31%,"2,543",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1012
FY21,FY21-Q2,10/1/2020 0:00,,"25,508","2,205","23,303",91.36%,"5,505",23.62%,"1,306",5.60%,"3,113",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1011
FY21,FY21-Q2,10/1/2020 0:00,,"29,530","1,143","28,387",96.13%,"7,365",25.94%,492,1.73%,"1,085",Retail,14,Digital Transformation and Industry,4,Retail,7,596
FY21,FY21-Q2,10/1/2020 0:00,,"30,243","1,420","28,823",95.30%,"7,256",25.17%,398,1.38%,934,Retail,14,Digital Transformation and Industry,4,Retail,7,595
FY21,FY21-Q2,10/1/2020 0:00,,"17,369",200,"17,169",98.85%,"2,005",11.68%,189,1.10%,344,Retail,14,Digital Transformation and Industry,4,Retail,7,594
FY21,FY21-Q2,10/1/2020 0:00,,"1,999",23,"1,976",98.85%,681,34.46%,74,3.74%,114,Education,6,Digital Transformation and Industry,4,Education,3,177
FY21,FY21-Q2,10/1/2020 0:00,,"2,164",43,"2,121",98.01%,710,33.47%,133,6.27%,258,Education,6,Digital Transformation and Industry,4,Education,3,176
FY21,FY21-Q1,9/1/2020 0:00,,"15,772",570,"15,202",96.39%,"3,098",20.38%,455,2.99%,"1,139",Win with Analytics,2,Data and AI,2,Azure,1,5193
FY21,FY21-Q1,9/1/2020 0:00,,"18,873",943,"17,930",95.00%,"3,037",16.94%,499,2.78%,"1,343",Win with Analytics,2,Data and AI,2,Azure,1,5192
FY21,FY21-Q1,9/1/2020 0:00,,"18,406",493,"17,913",97.32%,"3,853",21.51%,620,3.46%,"1,512",Win with Analytics,2,Data and AI,2,Azure,1,5191
FY21,FY21-Q1,9/1/2020 0:00,,"39,967","2,639","37,328",93.40%,"7,388",19.79%,705,1.89%,"1,468",Win with Analytics,2,Data and AI,2,Azure,1,5190
FY21,FY21-Q1,9/1/2020 0:00,,"41,018","1,793","39,225",95.63%,"8,314",21.20%,"1,333",3.40%,"3,420",Win with Analytics,2,Data and AI,2,Azure,1,5189
FY21,FY21-Q1,9/1/2020 0:00,,"18,104",809,"17,295",95.53%,"3,376",19.52%,318,1.84%,627,Win with Analytics,2,Data and AI,2,Azure,1,5188
FY21,FY21-Q1,9/1/2020 0:00,,"31,837","1,101","30,736",96.54%,"6,828",22.21%,546,1.78%,995,Win with Analytics,2,Data and AI,2,Azure,1,5187
FY21,FY21-Q1,9/1/2020 0:00,,"32,637","1,277","31,360",96.09%,"7,061",22.52%,788,2.51%,"1,526",Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4704
FY21,FY21-Q1,9/1/2020 0:00,,"14,866","1,745","13,121",88.26%,"2,613",19.91%,452,3.44%,"1,465",Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4703
FY21,FY21-Q1,9/1/2020 0:00,,"40,244",721,"39,523",98.21%,"9,179",23.22%,"1,550",3.92%,"3,201",Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4702
FY21,FY21-Q1,9/1/2020 0:00,,"23,240","1,269","21,971",94.54%,"5,132",23.36%,488,2.22%,945,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4701
FY21,FY21-Q1,9/1/2020 0:00,,"13,251",490,"12,761",96.30%,"2,799",21.93%,212,1.66%,482,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4700
